Opportunity ID,Account Name,Segment,Tier,Region,Company Size,Current Tech Stack,Lead Source,Assigned Rep,Close Date,Sales Cycle (days),Deal Size (EUR ACV),Outcome,Competitor Faced,Competitor Quoted Price (EUR),Decision Driver,Product Feedback,Demo Quality (1-5),Response Time (hrs),Notes
OPP-1073,Castellan Bank,Bank/Lender,Tier 1,Benelux,"EUR 539M annual origination",In-house build,Outbound,Anna Kowalski,2025-12-11,65,116374,Lost,In-house build,,"Price","Bug: none reported - process/relationship loss",5,56,
OPP-1074,Applegate Homes,Brokerage,Tier 3,DACH,"39 agents",Manual process,Inbound,Anna Kowalski,2025-12-13,46,8198,Won,None,,"Accuracy methodology disclosed","Standout: comparable-level audit trail",4,44,
OPP-1075,Thistledown Credit Union,Bank/Lender,Tier 1,Nordics,"EUR 521M annual origination",Bricklane Data,Inbound,Anna Kowalski,2026-02-02,129,94329,Won,Bricklane Data,86458,"Existing relationship / referral","Standout: faster implementation than incumbent",2,49,
OPP-1076,Rosemont Properties,Brokerage,Tier 3,DACH,"67 agents",PropIQ,Event,Marcus Webb,2026-04-29,25,13498,Lost,PropIQ,15160,"No decision - internal bandwidth","Bug: none reported - process/relationship loss",4,28,
OPP-1077,Wexford Mortgage Partners,Bank/Lender,Tier 1,Nordics,"EUR 1547M annual origination",Bricklane Data,Event,Marcus Webb,2026-04-26,108,137270,Won,Bricklane Data,115009,"Explainability / audit trail","Standout: review-queue workflow fit",4,24,
OPP-1078,Meadowlane Estates,Brokerage,Tier 3,DACH,"70 agents",PropIQ,Partner,Daniel Osei,2026-04-08,47,25739,Won,PropIQ,24415,"Explainability / audit trail","Standout: faster implementation than incumbent",4,10,
OPP-1079,Northgate Financial,Bank/Lender,Tier 1,DACH,"EUR 877M annual origination",Bricklane Data,Inbound,Marcus Webb,2025-12-04,108,138906,Lost,Bricklane Data,146463,"Price","Bug: none reported - process/relationship loss",4,64,
OPP-1080,Kestrel Bank,Bank/Lender,Tier 1,Nordics,"EUR 324M annual origination",Bricklane Data,Partner,Sofia Bergman,2025-11-25,73,94267,Won,Bricklane Data,90395,"Existing relationship / referral","Standout: review-queue workflow fit",3,60,
OPP-1081,Brightleaf Estates,Brokerage,Tier 3,DACH,"54 agents",PropIQ,Outbound,Daniel Osei,2025-12-01,39,9243,Won,PropIQ,7857,"Faster implementation","Standout: responsive support vs. incumbent",4,60,
OPP-1082,Willowmere Estates,Brokerage,Tier 3,Nordics,"31 agents",None,Referral,Sofia Bergman,2026-05-26,48,24678,Lost,None,,"Price","Missing: named reference customer at our scale",5,33,
OPP-1083,Brightleaf Brokerage,Brokerage,Tier 3,DACH,"70 agents",PropIQ,Referral,Daniel Osei,2026-06-15,23,21453,Won,PropIQ,23870,"Explainability / audit trail","Standout: disclosed accuracy methodology",5,67,
OPP-1084,Corvale Lending Group,Bank/Lender,Tier 2,Nordics,"EUR 5895M annual origination",None,Referral,Sofia Bergman,2026-07-05,205,259839,Lost,None,,"Data coverage gap","No product objection - internal bandwidth/timing",4,9,
OPP-1085,Corvale Credit Union,Bank/Lender,Tier 1,DACH,"EUR 1467M annual origination",ValuAI,Outbound,Marcus Webb,2026-01-07,91,95243,Lost,ValuAI,99612,"Adoption risk / incumbent inertia","Missing: named reference customer at our scale",4,63,
OPP-1086,Foxglove Homes,Brokerage,Tier 3,Benelux,"28 agents",PropIQ,Referral,Marcus Webb,2025-12-17,25,24326,Lost,PropIQ,27416,"Data coverage gap","No product objection - internal bandwidth/timing",4,31,
OPP-1087,Corrigan Lending Group,Bank/Lender,Tier 2,Benelux,"EUR 3006M annual origination",Manual process,Outbound,Sofia Bergman,2025-11-22,235,165435,Lost,None,,"Price","Bug: none reported - process/relationship loss",4,32,
OPP-1088,Drummond Capital,Bank/Lender,Tier 1,Benelux,"EUR 472M annual origination",None,Partner,Sofia Bergman,2026-06-23,76,51972,Won,None,,"Faster implementation","Standout: review-queue workflow fit",5,7,
OPP-1089,Yorvale Trust,Bank/Lender,Tier 1,Benelux,"EUR 352M annual origination",Bricklane Data,Referral,Anna Kowalski,2026-01-15,75,75175,Lost,Bricklane Data,62154,"No on-prem deployment option","Missing: data coverage in smaller regional market",5,18,
OPP-1090,Stonebridge Lending Group,Bank/Lender,Tier 1,Nordics,"EUR 1291M annual origination",In-house build,Referral,Anna Kowalski,2025-12-20,64,137057,Lost,In-house build,,"No on-prem deployment option","Missing: named reference customer at our scale",4,6,
OPP-1091,Maple Ridge Brokerage,Brokerage,Tier 3,DACH,"11 agents",None,Referral,Marcus Webb,2025-11-27,47,16321,Won,None,,"Faster implementation","Standout: faster implementation than incumbent",3,2,
OPP-1092,Yorvale Bank,Bank/Lender,Tier 1,Benelux,"EUR 701M annual origination",Bricklane Data,Outbound,Sofia Bergman,2026-06-21,119,67681,Lost,Bricklane Data,72360,"Price","Bug: none reported - process/relationship loss",4,32,
OPP-1093,Ashcombe Capital,Bank/Lender,Tier 1,Nordics,"EUR 1292M annual origination",In-house build,Partner,Marcus Webb,2025-10-19,60,59767,Lost,In-house build,,"Longer implementation timeline","Missing: named reference customer at our scale",3,20,
OPP-1094,Bramwell Savings,Bank/Lender,Tier 1,Nordics,"EUR 255M annual origination",ValuAI,Outbound,Sofia Bergman,2025-11-12,124,61974,Lost,ValuAI,52519,"No on-prem deployment option","Bug: none reported - process/relationship loss",2,54,
OPP-1095,Vantree Savings,Bank/Lender,Tier 1,DACH,"EUR 1063M annual origination",In-house build,Referral,Marcus Webb,2025-12-04,124,118928,Won,None,,"Explainability / audit trail","Standout: review-queue workflow fit",4,69,
OPP-1096,Fenmoor Savings,Bank/Lender,Tier 1,Benelux,"EUR 1229M annual origination",None,Partner,Sofia Bergman,2025-12-05,115,85975,Lost,None,,"No on-prem deployment option","Missing: specific regulatory certification",4,23,
OPP-1097,Willowmere Realty,Brokerage,Tier 3,DACH,"27 agents",None,Outbound,Anna Kowalski,2025-12-01,52,19690,Won,None,,"Explainability / audit trail","Standout: faster implementation than incumbent",5,26,
OPP-1098,Hazelbrook Properties,Brokerage,Tier 3,Benelux,"21 agents",PropIQ,Referral,Marcus Webb,2026-04-03,48,25799,Lost,PropIQ,29620,"Price","No product objection - internal bandwidth/timing",4,39,
OPP-1099,Larkfield Group,Brokerage,Tier 3,Benelux,"30 agents",PropIQ,Outbound,Anna Kowalski,2026-03-22,48,13420,Won,PropIQ,15285,"Existing relationship / referral","Standout: responsive support vs. incumbent",3,59,
OPP-1100,Aldergate Bank,Bank/Lender,Tier 2,DACH,"EUR 5227M annual origination",In-house build,Outbound,Daniel Osei,2026-02-27,284,244024,Lost,None,,"Price","Bug: none reported - process/relationship loss",2,14,
